workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,A100_MIG_3g40gb,2048,V0,0,32,14.121472,1216.577799,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,2,32,7.956480,2159.229851,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,3,32,7.956992,2159.090945,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,4,32,8.068096,2129.358506,1,0.000000
gemm,A100_MIG_3g40gb,2048,Ref,0,64,2.525696,6802.033866,1,0.000000
gemm,A100_MIG_3g40gb,2048,V1,1,64,4.154880,4134.865265,1,0.000000
gemm,A100_MIG_3g40gb,2048,V0,0,64,14.034432,1224.122876,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,2,64,4.496896,3820.383899,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,3,64,6.436352,2669.193535,1,0.000000
gemm,A100_MIG_3g40gb,2048,V3,4,64,7.038976,2440.677351,1,0.000000
gemm,A100_MIG_3g40gb,2048,Ref,0,128,2.525696,6802.033866,1,0.000000
gemm,A100_MIG_3g40gb,2048,V1,1,128,4.488704,3827.356251,1,0.000000
gemm,A100_MIG_3g40gb,2048,V0,0,128,14.129664,1215.872455,1,0.000000
gemm,A100_MIG_3g40gb,3072,Ref,0,16,8.314368,6973.717878,1,0.000000
gemm,A100_MIG_3g40gb,3072,V1,1,16,50.758656,1142.308792,1,0.000000
gemm,A100_MIG_3g40gb,3072,V0,0,16,57.987585,999.904694,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,2,16,52.856319,1096.974953,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,3,16,53.273088,1088.393036,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,4,16,52.449793,1105.477359,1,0.000000
gemm,A100_MIG_3g40gb,3072,Ref,0,32,8.314368,6973.717878,1,0.000000
gemm,A100_MIG_3g40gb,3072,V1,1,32,27.389952,2116.909848,1,0.000000
gemm,A100_MIG_3g40gb,3072,V0,0,32,57.985537,999.940018,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,2,32,27.342337,2120.596320,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,3,32,27.270657,2126.170241,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,4,32,28.251136,2052.379729,1,0.000000
gemm,A100_MIG_3g40gb,3072,Ref,0,64,8.314368,6973.717878,1,0.000000
gemm,A100_MIG_3g40gb,3072,V1,1,64,14.304768,4053.337891,1,0.000000
gemm,A100_MIG_3g40gb,3072,V0,0,64,57.955328,1000.461226,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,2,64,15.922176,3641.591383,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,3,64,23.857664,2430.332585,1,0.000000
gemm,A100_MIG_3g40gb,3072,V3,4,64,26.297856,2204.820719,1,0.000000
gemm,A100_MIG_3g40gb,3072,Ref,0,128,8.314368,6973.717878,1,0.000000
