workload,gpu,problem_size,stage,tile_size,measured_speedup
gemm,H100_SXM5,1024,1,128,1.000000
gemm,H100_SXM5,1024,1,16,1.000000
gemm,H100_SXM5,1024,1,32,1.000000
gemm,H100_SXM5,1024,1,64,1.000000
gemm,H100_SXM5,1024,2,16,0.953544
gemm,H100_SXM5,1024,2,32,1.020103
gemm,H100_SXM5,1024,2,64,0.993132
gemm,H100_SXM5,1024,3,16,0.905845
gemm,H100_SXM5,1024,3,32,1.014355
gemm,H100_SXM5,1024,3,64,0.976537
gemm,H100_SXM5,1024,4,16,0.908262
gemm,H100_SXM5,1024,4,32,1.031866
gemm,H100_SXM5,1024,4,64,0.793011
gemm,H100_SXM5,2048,1,128,1.000000
gemm,H100_SXM5,2048,1,16,1.000000
gemm,H100_SXM5,2048,1,32,1.000000
gemm,H100_SXM5,2048,1,64,1.000000
gemm,H100_SXM5,2048,2,16,0.949924
gemm,H100_SXM5,2048,2,32,0.983471
gemm,H100_SXM5,2048,2,64,0.970071
gemm,H100_SXM5,2048,3,16,0.902898
gemm,H100_SXM5,2048,3,32,0.980313
gemm,H100_SXM5,2048,3,64,0.837923
gemm,H100_SXM5,2048,4,16,0.907051
gemm,H100_SXM5,2048,4,32,1.000316
gemm,H100_SXM5,2048,4,64,0.581170
gemm,H100_SXM5,256,1,128,1.000000
gemm,H100_SXM5,256,1,16,1.000000
gemm,H100_SXM5,256,1,32,1.000000
gemm,H100_SXM5,256,1,64,1.000000
gemm,H100_SXM5,256,2,16,0.993854
gemm,H100_SXM5,256,2,32,1.196203
gemm,H100_SXM5,256,2,64,0.975293
gemm,H100_SXM5,256,3,16,0.968349
gemm,H100_SXM5,256,3,32,1.186547
gemm,H100_SXM5,256,3,64,0.970498
gemm,H100_SXM5,256,4,16,0.962585
gemm,H100_SXM5,256,4,32,1.192967
gemm,H100_SXM5,256,4,64,1.014130
gemm,H100_SXM5,3072,1,128,1.000000
gemm,H100_SXM5,3072,1,16,1.000000
gemm,H100_SXM5,3072,1,32,1.000000
gemm,H100_SXM5,3072,1,64,1.000000
gemm,H100_SXM5,3072,2,16,0.930119
gemm,H100_SXM5,3072,2,32,0.980654
gemm,H100_SXM5,3072,2,64,0.969082
gemm,H100_SXM5,3072,3,16,0.884791
gemm,H100_SXM5,3072,3,32,0.974845
gemm,H100_SXM5,3072,3,64,0.795304
gemm,H100_SXM5,3072,4,16,0.909318
gemm,H100_SXM5,3072,4,32,0.999240
gemm,H100_SXM5,3072,4,64,0.503038
gemm,H100_SXM5,4096,1,128,1.000000
gemm,H100_SXM5,4096,1,16,1.000000
gemm,H100_SXM5,4096,1,32,1.000000
gemm,H100_SXM5,4096,1,64,1.000000
gemm,H100_SXM5,4096,2,16,0.916807
gemm,H100_SXM5,4096,2,32,0.978386
gemm,H100_SXM5,4096,2,64,0.974604
gemm,H100_SXM5,4096,3,16,0.876683
gemm,H100_SXM5,4096,3,32,0.972299
gemm,H100_SXM5,4096,3,64,0.819991
gemm,H100_SXM5,4096,4,16,0.908454
