workload,gpu,problem_size,variant,stage,tile_size,time_ms,gflops,correct,max_abs_error
gemm,H100_SXM5,2048,Ref,0,32,0.345680,49698.765516,1,0.000000
gemm,H100_SXM5,2048,V1,1,32,1.773520,9686.876524,1,0.000000
gemm,H100_SXM5,2048,V0,0,32,3.177312,5407.045041,1,0.000000
gemm,H100_SXM5,2048,V3,2,32,1.803328,9526.757655,1,0.000000
gemm,H100_SXM5,2048,V3,3,32,1.809136,9496.173240,1,0.000000
gemm,H100_SXM5,2048,V3,4,32,1.772960,9689.936104,1,0.000000
gemm,H100_SXM5,2048,Ref,0,64,0.345680,49698.765516,1,0.000000
gemm,H100_SXM5,2048,V1,1,64,0.914288,18790.434653,1,0.000000
gemm,H100_SXM5,2048,V0,0,64,3.177904,5406.037794,1,0.000000
gemm,H100_SXM5,2048,V3,2,64,0.942496,18228.055241,1,0.000000
gemm,H100_SXM5,2048,V3,3,64,1.091136,15744.938779,1,0.000000
gemm,H100_SXM5,2048,V3,4,64,1.573184,10920.444804,1,0.000000
gemm,H100_SXM5,2048,Ref,0,128,0.345680,49698.765516,1,0.000000
gemm,H100_SXM5,2048,V1,1,128,0.860992,19953.576213,1,0.000000
gemm,H100_SXM5,2048,V0,0,128,3.177312,5407.045041,1,0.000000
gemm,H100_SXM5,3072,Ref,0,16,1.289376,44969.083942,1,0.000000
gemm,H100_SXM5,3072,V1,1,16,12.345488,4696.619377,1,0.000000
gemm,H100_SXM5,3072,V0,0,16,10.817936,5359.807897,1,0.000000
gemm,H100_SXM5,3072,V3,2,16,13.273024,4368.413569,1,0.000000
gemm,H100_SXM5,3072,V3,3,16,13.952992,4155.528696,1,0.000000
gemm,H100_SXM5,3072,V3,4,16,13.576640,4270.722207,1,0.000000
gemm,H100_SXM5,3072,Ref,0,32,1.289376,44969.083942,1,0.000000
gemm,H100_SXM5,3072,V1,1,32,5.786912,10019.516255,1,0.000000
gemm,H100_SXM5,3072,V0,0,32,10.820128,5358.722068,1,0.000000
gemm,H100_SXM5,3072,V3,2,32,5.901072,9825.682223,1,0.000000
gemm,H100_SXM5,3072,V3,3,32,5.936240,9767.472155,1,0.000000
gemm,H100_SXM5,3072,V3,4,32,5.791312,10011.903814,1,0.000000
gemm,H100_SXM5,3072,Ref,0,64,1.289376,44969.083942,1,0.000000
gemm,H100_SXM5,3072,V1,1,64,3.014992,19231.247884,1,0.000000
gemm,H100_SXM5,3072,V0,0,64,10.811728,5362.885423,1,0.000000
gemm,H100_SXM5,3072,V3,2,64,3.111184,18636.653595,1,0.000000
gemm,H100_SXM5,3072,V3,3,64,3.790992,15294.692831,1,0.000000
gemm,H100_SXM5,3072,V3,4,64,5.993568,9674.047085,1,0.000000
gemm,H100_SXM5,3072,Ref,0,128,1.289376,44969.083942,1,0.000000
gemm,H100_SXM5,3072,V1,1,128,3.199184,18124.015239,1,0.000000
gemm,H100_SXM5,3072,V0,0,128,10.818864,5359.348190,1,0.000000
gemm,H100_SXM5,4096,Ref,0,16,2.656800,51731.011681,1,0.000000
gemm,H100_SXM5,4096,V1,1,16,29.301008,4690.587860,1,0.000000
gemm,H100_SXM5,4096,V0,0,16,26.037745,5278.450803,1,0.000000
gemm,H100_SXM5,4096,V3,2,16,31.959840,4300.364277,1,0.000000
gemm,H100_SXM5,4096,V3,3,16,33.422577,4112.159091,1,0.000000
gemm,H100_SXM5,4096,V3,4,16,32.253712,4261.182550,1,0.000000
gemm,H100_SXM5,4096,Ref,0,32,2.656800,51731.011681,1,0.000000
gemm,H100_SXM5,4096,V1,1,32,13.701440,10030.986152,1,0.000000
gemm,H100_SXM5,4096,V0,0,32,26.036480,5278.707173,1,0.000000
gemm,H100_SXM5,4096,V3,2,32,14.004128,9814.174340,1,0.000000
gemm,H100_SXM5,4096,V3,3,32,14.091792,9753.120996,1,0.000000
gemm,H100_SXM5,4096,V3,4,32,13.752784,9993.536651,1,0.000000
gemm,H100_SXM5,4096,Ref,0,64,2.656800,51731.011681,1,0.000000
gemm,H100_SXM5,4096,V1,1,64,7.056832,19476.013692,1,0.000000
gemm,H100_SXM5,4096,V0,0,64,26.037680,5278.463949,1,0.000000
gemm,H100_SXM5,4096,V3,2,64,7.240720,18981.393126,1,0.000000
gemm,H100_SXM5,4096,V3,3,64,8.605984,15970.161007,1,0.000000
gemm,H100_SXM5,4096,V3,4,64,14.178976,9693.151150,1,0.000000
gemm,H100_SXM5,4096,Ref,0,128,2.656800,51731.011681,1,0.000000
gemm,H100_SXM5,4096,V1,1,128,6.705424,20496.684015,1,0.000000
gemm,H100_SXM5,4096,V0,0,128,26.037040,5278.593679,1,0.000000
gemm,H100_SXM5,6144,Ref,0,16,9.074528,51116.317770,1,0.000000
gemm,H100_SXM5,6144,V1,1,16,98.918259,4689.290675,1,0.000000
gemm,H100_SXM5,6144,V0,0,16,89.972256,5155.550056,1,0.000000
gemm,H100_SXM5,6144,V3,2,16,108.405010,4278.920937,1,0.000000
gemm,H100_SXM5,6144,V3,3,16,113.296227,4094.191680,1,0.000000
gemm,H100_SXM5,6144,V3,4,16,108.874241,4260.479469,1,0.000000
gemm,H100_SXM5,6144,Ref,0,32,9.074528,51116.317770,1,0.000000
gemm,H100_SXM5,6144,V1,1,32,45.917505,10101.952737,1,0.000000
gemm,H100_SXM5,6144,V0,0,32,89.975330,5155.373880,1,0.000000
gemm,H100_SXM5,6144,V3,2,32,46.973200,9874.917389,1,0.000000
gemm,H100_SXM5,6144,V3,3,32,47.226784,9821.894084,1,0.000000
gemm,H100_SXM5,6144,V3,4,32,46.110048,10059.769728,1,0.000000
gemm,H100_SXM5,6144,Ref,0,64,9.074528,51116.317770,1,0.000000
